gurmukhi,shahmukhi,part_of_speech
ਤਾਖੀਰ,تاخیر,"noun, feminine"
ਅੱਖਾਂ ਚਾਰ ਕਰਨੀਆਂ,اکّھاں چار کرنیاں,phrase
ਵਿੱਤੀ,وِتّی,adjective
ਧਰਮੋ ਧਰਮੀ,دھرمو دھرمی,adverb
ਜਲੇਵਾਂ,,
ਫਲਾਰ,,
ਪਰਾਣਹੀਨ,پرانہین,adjective
ਮਿਰਗੀ ਪੈਣੀ,مِرگی پَینی,conjunct verb
ਜਿੱਲ੍ਹਣ,,
ਟੈਹਕਣਾ,,
ਚੁਕੈਤੀ,چُکَیتی,"noun, feminine"
ਢਿਲਕਵਾਂ,ڈھِلکواں,"adjective, masculine"
ਚਰਾਕ,,
ਨਰਾ,,
ਚੱਪੂ,چپّو,"noun, masculine"
ਅੱਠੇਂ,,
ਤਸ਼ਤਰੀ,تشتری,"noun, feminine"
ਲਾਲਸਾ,لالسا,"noun, feminine"
ਬੰਬੂਲ,,
ਘੁੱਗ,گھُگّ,adverb
ਸ਼ਾਲਾਪਾਪਰਾ,,
ਬੌਲ਼ਾ,بولا,"adjective masculine, colloquial"
ਖੋਤਣਾ,کھوتنا,"verb, transitive"
ਲਾਗ ਡਾਟ,لاگ ڈاٹ,"noun, feminine"
ਵਯਾਕੁਲ,,
ਇਹ,ایہہ,pronoun and adjective
ਗਾਲ਼ੋਗਾਲ਼ੀ ਹੋਣਾ,گالوگالی ہونا,phrase
ਝੁੰਜਲਾਟ,,
ਤੇਰ੍ਹੀਂ,تیرھیں,adverb
ਸਾਉਂਕ,,
ਸਲੀਕਾ,سلیقہ,"noun, masculine"
ਬਿਮਾਰੀ ਵਿਗਿਆਨ,بیماری وِگیان,"noun, masculine"
ਬੱਘੀ,بگھّی,"noun, feminine"
ਫਟੱਕ ਕਰਕੇ,پھٹکّ کرکے,adverb
ਪਾਚਕ,پاچک,adjective
ਤਲਾਸੀ,,
ਕਲਫ,,
ਕਨਾਇਤ ਕਰਨੀ,قناعت کرنی,conjunct verb
ਨੀਰ ਵਰੋਲ਼ਨਾ,نیر ورولنا,phrase
ਵਿਸ਼ਲੇਸ਼ਨ,وِشلیشن,"noun, masculine"
ਨਿਰਵਿਘਨ,نِروِگھن,adjective & adverb
ਚਮੱਲ,,
ਉਪੜਵਾਉਣਾ,اُپڑواؤنا,"verb, transitive"
ਪਸਾਦਣ,,
ਲਹਿਰਾਉਣਾ,لہراؤنا,"verb, transitive"
ਨੰਦੂ,,
ਤਿੰਨ ਸਾਲਾ,تِنّ سالا,adjective
ਫੂੰਤ,,
ਤਖਤ ਤੋਂ ਲਾਹੁਣਾ,تخت توں لاہُنا,phrase
ਸਵਾਲ ਪਾਉਣਾ,سوال پاؤنا,conjunct verb
ਬੁਝਿਆ ਚੂਨਾ,بُجھیا چونا,"noun, masculine"
ਸਗਲ,سگل,adjective
ਚਿੱਚੜ ਵਾਂਗ ਚੰਬੜਨਾ,چِچّڑ وانگ چنبڑنا,phrase
ਝੁਠਿਆ,جھُٹھیا,verb
ਪਵਾਰ,,
ਲਹਨ,,
ਹਰਾਰਤ,حرارت,"noun, feminine"
ਟਕਰ,,
ਸੰਤਰੀ,سنتری,"noun, masculine"
ਕਸਰ ਮਸਰ,قصر مسر,"noun, feminine"
ਮੌਕਾਵਾਦ,موقع واد,"noun, masculine"
ਖਲਲ,خلل,"noun, masculine"
ਚਾਕੂ,چاقو,"noun, masculine"
ਝੂੰਝਾ,,
ਅਪੱਡ਼,,
ਵੰਦਣਾ,,
ਖੁਲ੍ਹਾਨ,,
ਪ੍ਰਤਾਪ,پرتاپ,"noun, masculine"
ਪਕੌਡ਼ੀ,,
ਸ੍ਵਾਸ ਪ੍ਰਣਾਲੀ,سواس پرنالی,"noun, feminine/noun, masculine"
ਹੰਭਲ਼ਾ,ہنبھلا,"noun, masculine"
ਮਿਥਿਆ,مِتھیا,verb
ਫਲੂੱਦਾ,,
ਹੌੱਦਾ,,
ਵੈਲੀ,وَیلی,"adjective & noun, masculine"
ਡੰਗੇ ਲਾਉਣੇ,ڈنگے لاؤنے,conjunct verb
ਪਿੰਨੀ,پِنّی,"noun, feminine"
ਲੀਖ,لیکھ,"noun, feminine"
ਤਾਮਬਡ਼,,
ਉਛਾਲ਼ੀ ਆਉਣੀ,اُچھالی آؤنی,conjunct verb
ਪੀ ਜਾਣਾ,پی جانا,conjunct verb
ਵਸੀਵਾਂ,,
ਬਾਹਰੀ,باہری,adjective
ਥਾਂ ਲੈਣੀ,تھاں لَینی,conjunct verb
ਪਰਨਾਲ਼ਾ,پرنالا,"noun, masculine"
ਸਿਰਨ੍ਹਾਉਣੀ,سِرنھاؤنی,"noun, feminine"
ਬਾਰਦਾਣਾ,باردانا,"noun, masculine"
ਸਰਨਾਹੀ,سرناہی,"noun, feminine"
ਵੇਦਣ,,
ਉੱਲਾਸ,اُلاّس,"noun, masculine"
ਵਰਦਾਨ,وردان,"noun, masculine"
ਸਮਾਜਿਕ ਪਰਨਾਲੀ,سماجک پرنالی,"noun, masculine/noun, feminine"
ਵਜਨੀ,,
ਗਿੜਵਾਈ,گِڑوائی,"noun, feminine"
ਕੁਮਭੀ,,
ਡਿਸੱਣ,,
ਰਸਮਲਾਈ,رسملائی,"noun, feminine"
ਰੋਗਾਣੂ,روگانو,"noun, masculine"
ਧੁਰੰਧਰ ਵਿਦਵਾਨ,دھُرندھر وِدوان,"noun, masculine"
ਨਾਜਾਇਜ਼ ਕਾਰਵਾਈ,ناجائز کاروائی,"noun, feminine"
ਝੱਲਾ,جھلاّ,"adjective, masculine"
ਸਦਾਰਤੀ,صدارتی,adjective
ਬੱਗੋਂ,بگّوں,"noun, feminine"
ਦੋਲੜਾ,دولڑا,"noun, masculine"
ਖਲ੍ਹਾਰ,کھلار,"noun, feminine"
ਚਿਡ਼ਿੰਗਿਆਰੀ,,
